species,location,time,description of bird,sex,feather color,activity_period,back_color,behavior,bill_color,bill_length,bill_shape,body_color,breast_color,cap_color,cheek_color,chest_color,chin_color,collar_color,crest_color,crown_color,eye_color,face_color,feeding_behavior,flight_style,foot_color,habitat_preference,head_color,head_marking,head_ornament,height,leg_color,leg_covering,leg_length,locomotion,nape_color,neck_color,neck_length,plumage_color,plumage_finish,plumage_pattern,rump_color,shoulder_color,side_color,size,tail_color,tail_length,tail_shape,throat_color,underparts_color,underwing_color,upperparts_color,vocalization,wing_color,wingtip_color
Anna's Hummingbird,Vancouver,18-06-2023 10:30,A small bird with iridescent green feathers and a pink throat patch,Male,Green and Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,iridescent,,,,,small,,,,pink,,,,,,
White-throated Sparrow,Rome,28-06-2023 09:15,A medium-sized sparrow with a white throat and black-and-white striped head,Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,,,,,,,,striped,,,,medium,,,,white,,,,,,
Snowy Owl,Moscow,04-07-2023 14:55,A large white owl with yellow eyes,Unknown,White,,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,white,,,,,,large,,,,,,,,,,
Eurasian Jay,Tokyo,23-06-2023 12:20,A medium-sized bird with blue and white feathers and a black crest,Unknown,Blue and White,,,,,,,,,,,,,,black,,,,,,,,,,crest,,,,,,,,,blue|white,,,,,,medium,,,,,,,,,,
Wood Duck,Seattle,15-06-2023 07:40,A medium-sized duck with a colorful plumage and a distinctive crested head,Male,Various colors,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,,,,,,,medium,,,,,,,,,,
Northern Mockingbird,New York City,02-07-2023 16:50,A medium-sized bird with gray feathers and a long tail,Unknown,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray,,,,,,medium,,long,,,,,,,,
Barn Owl,Miami,29-06-2023 21:30,A medium-sized owl with a heart-shaped face and pale feathers,Unknown,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
American Goldfinch,Chicago,06-07-2023 08:10,A small yellow bird with black wings and a conical bill,Unknown,Yellow and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,black,
Belted Kingfisher,Los Angeles,21-06-2023 11:40,"A medium-sized bird with a shaggy crest and a long, pointed bill",Female,Blue and White,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,,,,,,,medium,,,,,,,,,,
Hooded Crow,London,26-06-2023 15:20,A medium-sized crow with black plumage and a distinctive gray hood,Unknown,Black and Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,medium,,,,,,,,,,
Purple Martin,New York City,03-07-2023 09:05,A small bird with a dark blue-black body and a forked tail,Male,Dark Blue and Black,,,,,,,black|blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,forked,,,,,,,
Rock Pigeon,Seattle,17-06-2023 14:15,A medium-sized pigeon with a gray body and iridescent neck feathers,Unknown,Gray,,,,,,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,iridescent,,,,,medium,,,,,,,,,,
Canada Goose,Miami,30-06-2023 18:25,"A large waterfowl with a black head and neck, and a brown body",Unknown,Black and Brown,,,,,,,brown,,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Black-capped Chickadee,Chicago,07-07-2023 10:20,A small bird with a black cap and white cheeks,Unknown,Black and White,,,,,,,,,black,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,
Eurasian Collared-Dove,Los Angeles,22-06-2023 16:30,A medium-sized dove with a pale gray body and a black crescent-shaped collar,Unknown,Gray,,,,,,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
House Sparrow,London,27-06-2023 13:45,A small brown bird with a gray crown and black throat patch,Unknown,Brown and Gray,,,,,,,,,,,,,,,gray,,,,,,,,,,,,,,,,,,brown,,,,,,small,,,,black,,,,,,
American Crow,New York City,04-07-2023 11:00,A large black bird with a sturdy beak,Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,,,,,,
Rose-breasted Grosbeak,Seattle,16-06-2023 08:50,A medium-sized bird with a black and white body and a rose-colored breast,Male,Black and White,,,,,,,black|white,pink|red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Eurasian Magpie,Miami,01-07-2023 16:15,A medium-sized bird with black and white plumage and a long tail,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,long,,,,,,,,
Black-chinned Hummingbird,Chicago,25-06-2023 09:30,A small hummingbird with green feathers and a black throat,Male,Green and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,green,,,,,,small,,,,black,,,,,,
Common Raven,Los Angeles,20-06-2023 12:10,A large black bird with a thick bill and a croaking call,Unknown,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,,,,call,,
House Finch,London,28-06-2023 14:40,A small finch with a red or orange head and a brown-streaked body,Male,Red and Brown,,,,,,,brown,,,,,,,,,,,,,,,orange|red,,,,,,,,,,,,,streaked,,,,small,,,,,,,,,,
Red-winged Blackbird,New York City,05-07-2023 07:20,A medium-sized blackbird with red and yellow shoulder patches,Male,Black and Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red|yellow,,medium,,,,,,,,,,
Northern Gannet,Seattle,19-06-2023 11:55,A large seabird with a white body and a yellowish head,Male,White and Yellow,,,,,,,white,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,large,,,,,,,,,,
European Goldfinch,Miami,02-07-2023 17:30,A small yellow bird with black and white wings,Unknown,Yellow and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,,black|white,
Hairy Woodpecker,Chicago,26-06-2023 10:40,A medium-sized woodpecker with black and white feathers,Male,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,medium,,,,,,,,,,
Brown-headed Cowbird,Los Angeles,21-06-2023 14:20,A blackbird with a dark brown head and a stocky build,Unknown,Black and Brown,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Waxwing,London,29-06-2023 12:15,A medium-sized bird with a crested head and a yellow-tipped tail,Unknown,Brown and Yellow,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,,,,,,,medium,yellow,,,,,,,,,
Sandhill Crane,New York City,06-07-2023 09:55,"A tall, grayish crane with a red crown on its head",Unknown,Gray and Red,,,,,,,,,,,,,,,red,,,,,,,,,,tall,,,,,,,,,,,,,,,,,,,,,,,,
Great Blue Heron,Seattle,17-06-2023 15:30,A large wading bird with a blue-gray body and long legs,Unknown,Blue and Gray,,,,,,,blue_gray,,,,,,,,,,,,,,,,,,,,,long,wading,,,,,,,,,,large,,,,,,,,,,
Eurasian Skylark,Miami,30-06-2023 10:45,A small songbird with a brown-streaked body and a crest,Unknown,Brown,,,,,,,brown,,,,,,,,,,,,,,,,,crest,,,,,,,,,,,streaked,,,,small,,,,,,,,,,
Yellow Warbler,Chicago,07-07-2023 11:20,A small songbird with bright yellow feathers and a melodious song,Male,Yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yellow,,,,,,small,,,,,,,,song,,
Ring-billed Gull,Los Angeles,22-06-2023 13:25,"A medium-sized gull with a white body, gray wings, and a distinctive black ring on its bill",Unknown,White and Gray,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,gray,
Tree Swallow,London,27-06-2023 10:10,A small bird with iridescent blue-green feathers and a forked tail,Unknown,Blue and Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green,iridescent,,,,,small,,,forked,,,,,,,
Baltimore Oriole,New York City,04-07-2023 08:40,A medium-sized bird with bright orange plumage and black wings,Male,Orange and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orange,,,,,,medium,,,,,,,,,black,
White-crowned Sparrow,Seattle,18-06-2023 07:15,A medium-sized sparrow with a distinctive white-striped crown,Unknown,Brown and White,,,,,,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,striped,,,,medium,,,,,,,,,,
Ruddy Duck,Miami,01-07-2023 15:50,A small duck with a rusty-red body and a blue bill,Male,Rusty-red and Blue,,,,blue,,,red|rust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,
Caspian Tern,Chicago,24-06-2023 09:30,"A large bird with a white body, gray wings, and a bright red bill",Unknown,White and Gray,,,,red,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,gray,
Northern Shoveler,Los Angeles,19-06-2023 13:40,A medium-sized duck with a large spoon-shaped bill,Male,Brown,,,,,,spoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Common Myna,London,26-06-2023 16:00,"A medium-sized bird with dark plumage, a yellow bill, and yellow eye patches",Unknown,Black and Yellow,,,,yellow,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Eurasian Spoonbill,Paris,07-07-2023 14:20,A large wading bird with a distinctive spoon-shaped bill,Unknown,White,,,,,,spoon,,,,,,,,,,,,,,,,,,,,,,,wading,,,,,,,,,,large,,,,,,,,,,
Barred Owl,San Francisco,25-06-2023 18:10,A medium-sized owl with brown and white barred plumage,Unknown,Brown and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|white,,barred,,,,medium,,,,,,,,,,
Crested Caracara,Mexico City,02-07-2023 09:45,A bird of prey with a black crest and a distinctive face pattern,Unknown,Black and Orange,,,,,,,,,,,,,,black,,,,,,,,,,crest,,,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Teal,Vancouver,19-06-2023 11:30,A small duck with a cinnamon-colored body and a blue bill,Male,Cinnamon and Blue,,,,blue,,,cinnamon|red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,,,,
Gray Catbird,Rome,27-06-2023 16:55,A medium-sized bird with a gray body and a distinctive mewing call,Unknown,Gray,,,,,,,gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,call,,
Lilac-breasted Roller,Cairo,04-07-2023 12:15,A colorful bird with lilac plumage and a long tail,Male,Lilac and Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,,,,long,,,,,,,,
Black Skimmer,Sydney,20-06-2023 14:40,"A bird with a black upper body, white underparts, and a large bill with a red base",Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,white,,black,,,
Pied Kingfisher,Tokyo,29-06-2023 16:10,A small bird with black and white plumage and a shaggy crest,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,black|white,,,,,,small,,,,,,,,,,
European Bee-eater,Athens,05-07-2023 08:25,"A colorful bird with a slender body, a long curved bill, and a greenish-blue crown",Male,Various colors,,,,,,curved,,,,,,,,,blue|green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himalayan Monal,Delhi,22-06-2023 10:30,"A large, brilliantly colored bird with a metallic green head and a vibrant array of plumage",Male,Various colors,,,,,,,,,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Greater Flamingo,Mumbai,30-06-2023 16:50,"A tall wading bird with pink feathers, a long neck, and a downward-curving bill",Unknown,Pink,,,,,,downcurved,,,,,,,,,,,,,,,,,,,tall,,,,wading,,,long,pink,,,,,,,,,,,,,,,,
Harlequin Duck,Reykjavik,03-07-2023 13:45,"A small duck with a colorful plumage featuring bold patches of blue, white, and chestnut",Male,Various colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|chestnut|white,,,,,,small,,,,,,,,,,
Swainson's Hawk,Buenos Aires,26-06-2023 11:20,"A large bird of prey with a brown body, a white throat, and a distinctive ""V"" shape underwing pattern",Unknown,Brown and White,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,white,,,,,,
Rufous Hummingbird,Vancouver,18-06-2023 09:15,A small hummingbird with a reddish-brown body and a bright orange throat,Male,Reddish-brown and Orange,,,,,,,brown|red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,orange,,,,,,
Hoopoe,London,25-06-2023 14:50,"A medium-sized bird with a distinctive crest, black and white wings, and a pinkish-brown body",Unknown,Pinkish-brown and Black,,,,,,,brown|pink,,,,,,,,,,,,,,,,,crest,,,,,,,,,,,,,,,medium,,,,,,,,,black|white,
Snowy Plover,San Francisco,01-07-2023 17:30,"A small shorebird with a white body, gray-brown upperparts, and a black bill and legs",Unknown,White and Gray-brown,,,,black,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,,,gray_brown,,,
Greater Roadrunner,Los Angeles,21-06-2023 09:40,"A fast-running bird with a long tail, mottled brown plumage, and a distinctive crest",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,brown,,mottled,,,,,,long,,,,,,,,
Saddle-billed Stork,Nairobi,28-06-2023 15:20,"A large wading bird with a black-and-white body, a yellow saddle-shaped bill, and a red facial patch",Unknown,"Black, White, Yellow, and Red",,,,,,,black|white,,,,,,,,,,,,,,,,,,,,,,wading,,,,,,,,,,large,,,,,,,,,,
Golden-crowned Kinglet,Seattle,15-06-2023 08:20,"A small songbird with olive-green upperparts, yellow underparts, and a golden crown on its head",Unknown,Green and Yellow,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,yellow,,green|olive,,,
Southern Cassowary,Sydney,02-07-2023 13:15,A large flightless bird with a casque on its head and dark brown plumage,Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,,,,,large,,,,,,,,,,
Keel-billed Toucan,Belize City,29-06-2023 11:40,"A colorful bird with a large bill featuring hues of green, blue, yellow, and orange",Unknown,Various colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Long-tailed Tit,Edinburgh,24-06-2023 10:50,"A small songbird with a long tail, a black-and-white head, and pinkish underparts",Unknown,"Black, White, and Pink",,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,,,,,,,,,,,,small,,long,,,pink,,,,,
Toco Toucan,Rio de Janeiro,05-07-2023 14:25,A large bird with a massive colorful bill and black plumage with white underparts,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,white,,,,,
Red-crested Cardinal,Buenos Aires,20-06-2023 16:30,"A medium-sized bird with a red crest, a black face, and a gray body",Unknown,"Red, Black, and Gray",,,,,,,gray,,,,,,,red,,,black,,,,,,,crest,,,,,,,,,,,,,,,medium,,,,,,,,,,
Red-billed Leiothrix,Tokyo,26-06-2023 12:40,"A small bird with bright red bill, red plumage on the head and wings, and a yellow body",Unknown,Red and Yellow,,,,red,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,small,,,,,,,,,,
Yellow-crowned Night-Heron,New Orleans,03-07-2023 18:15,"A medium-sized heron with a black-and-white head, a gray body, and a distinctive yellow crown",Unknown,"Black, White, and Gray",,,,,,,gray,,,,,,,,yellow,,,,,,,black|white,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Orange-breasted Sunbird,Cape Town,21-06-2023 09:55,A small bird with a bright orange breast and a metallic green head and back,Male,Orange and Green,,,,,,,,orange,,,,,,,,,,,,,,green,,,,,,,,,,,,,,,,,small,,,,,,,,,,
Crested Tit,Oslo,27-06-2023 11:20,"A small bird with a black-and-white head, a crested crown, and grayish-brown upperparts",Unknown,"Black, White, and Gray",,,,,,,,,,,,,,,,,,,,,,black|white,,crest,,,,,,,,,,,,,,,small,,,,,,,gray_brown,,,
Crowned Crane,Nairobi,04-07-2023 16:40,"A tall bird with a golden crown of stiff feathers, gray body plumage, and a red throat pouch",Unknown,"Golden, Gray, and Red",,,,,,,gray,,,,,,,,gold,,,,,,,,,,tall,,,,,,,,,,,,,,,,,,red,,,,,,
Scarlet Tanager,"Washington, D.C.",22-06-2023 08:30,"A medium-sized bird with black wings, a black tail, and bright scarlet plumage",Male,Scarlet and Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,medium,black,,,,,,,,black,
Black-throated Blue Warbler,Toronto,29-06-2023 10:10,"A small warbler with a black throat and upperparts, and a blue-gray belly and sides",Male,Black and Blue-gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,black,blue_gray,,,,,
Rhinoceros Hornbill,Kuala Lumpur,06-07-2023 12:45,A large bird with a casque resembling a rhinoceros horn and black-and-white plumage,Unknown,Black and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black|white,,,,,,large,,,,,,,,,,
Golden Eagle,Zurich,23-06-2023 14:20,A majestic bird of prey with dark brown plumage and a golden-brown nape,Unknown,Brown and Golden-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|gold,,,brown,,,,,,,,,,,,,,,,
Palm Cockatoo,Sydney,30-06-2023 16:30,A large black parrot with a distinctive large crest and a red patch on its face,Unknown,Black and Red,,,,,,,,,,,,,,,,,red,,,,,,,crest,,,,,,,,,black,,,,,,large,,,,,,,,,,
Yellow-billed Cuckoo,Houston,07-07-2023 10:40,"A medium-sized bird with a yellow bill, a long tail, and a brownish-gray plumage",Unknown,Brown and Yellow,,,,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,,,,,medium,,long,,,,,,,,
Black Woodpecker,Paris,25-06-2023 12:10,"A large woodpecker with black plumage, a yellow eye, and a red crown",Unknown,"Black, Yellow, and Red",,,,,,,,,,,,,,,red,yellow,,,,,,,,,,,,,,,,,black,,,,,,large,,,,,,,,,,
Greater Sage-Grouse,Denver,02-07-2023 07:15,A large grouse with mottled gray-brown plumage and a distinctive display courtship dance,Unknown,Gray-brown,,,courtship_display,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gray_brown,,mottled,,,,large,,,,,,,,,,
Reddish Egret,New Orleans,29-06-2023 15:40,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior",Unknown,Reddish-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown|red,,,,,,medium,,,,,,,,,,
Cerulean Warbler,Lexington,06-07-2023 09:50,A small warbler with a cerulean-blue upper body and a white underbody,Male,Blue and White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,blue,,,
Black-crowned Night-Heron,New York City,24-06-2023 18:20,"A medium-sized heron with a black crown, gray body, and red eyes",Unknown,Black and Gray,,,,,,,gray,,,,,,,,black,red,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Crimson Rosella,Melbourne,30-06-2023 14:35,"A medium-sized parrot with crimson red plumage, blue cheeks, and a blue tail",Unknown,Crimson and Blue,,,,,,,,,,blue,,,,,,,,,,,,,,,,,,,,,,,red,,,,,,medium,blue,,,,,,,,,
Greater Yellowlegs,Seattle,19-06-2023 11:55,A tall wading bird with long yellow legs and mottled brownish-gray plumage,Unknown,Yellow and Gray-brown,,,,,,,,,,,,,,,,,,,,,,,,,tall,yellow,,,wading,,,,gray_brown,,mottled,,,,,,,,,,,,,,
Cape Gannet,Cape Town,26-06-2023 15:20,"A large seabird with a white body, black wingtips, and a yellow head",Unknown,"White, Black, and Yellow",,,,,,,white,,,,,,,,,,,,,,,yellow,,,,,,,,,,,,,,,,,large,,,,,,,,,,black
White-faced Whistling-Duck,Nairobi,03-07-2023 17:30,"A medium-sized duck with a white face, a chestnut body, and a pink bill",Unknown,"White, Chestnut, and Pink",,,,pink,,,chestnut,,,,,,,,,,white,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Eurasian Wryneck,Oslo,20-06-2023 09:40,"A small bird with mottled brown plumage, a cryptic pattern, and a distinctive ""snake-like"" head movement",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown,,mottled,,,,small,,,,,,,,,,
Black-crowned Sparrow-Lark,Perth,27-06-2023 12:15,"A small bird with a black crown, grayish-brown upperparts, and a white belly",Unknown,"Black, Grayish-brown, and White",,,,,,,,,,,,,,,black,,,,,,,,,,,,,,,,,,,,,,,,small,,,,,white,,gray_brown,,,
African Grey Hornbill,Johannesburg,04-07-2023 14:55,"A medium-sized bird with a gray body, a black-and-white face, and a large yellow bill",Unknown,"Gray, Black, White, and Yellow",,,,yellow,,,gray,,,,,,,,,,black|white,,,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,,,
Green-winged Teal,Toronto,18-06-2023 08:30,A small dabbling duck with a mottled brown body and a distinctive green wing patch,Unknown,Brown and Green,,,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,mottled,,,,small,,,,,,,,,green,
Northern Flicker,Vancouver,01-07-2023 10:20,"A medium-sized woodpecker with a brown body, black bars on its back, and a red patch on the nape",Male,Brown and Red,,black,,,,,brown,,,,,,,,,,,,,,,,,,,,,,,red,,,,,barred,,,,medium,,,,,,,,,,
Gray-headed Swamphen,Sydney,24-06-2023 14:45,"A large waterbird with a blue-black body, gray head, and long legs",Unknown,Blue-black and Gray,,,,,,,black|blue,,,,,,,,,,,,,,,gray,,,,,,long,,,,,,,,,,,large,,,,,,,,,,
Great Crested Grebe,London,05-07-2023 16:30,"A medium-sized waterbird with a distinctive head crest, a white neck, and a reddish-brown body",Unknown,White and Reddish-brown,,,,,,,brown|red,,,,,,,,,,,,,,,,,crest,,,,,,,white,,,,,,,,medium,,,,,,,,,,
American White Pelican,Chicago,20-06-2023 12:50,A large white waterbird with a massive bill and a pouch,Male,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,
Red-breasted Merganser,Miami,29-06-2023 10:15,A medium-sized diving duck with a reddish-brown head and a gray body,Female,Reddish-brown and Gray,,,,,,,gray,,,,,,,,,,,,,,,brown|red,,,,,,,diving,,,,,,,,,,medium,,,,,,,,,,
White-tailed Tropicbird,Mexico City,02-07-2023 14:20,"A seabird with long white tail feathers and a white body, a black eye mask, and a yellow bill",Unknown,"White, Black, and Yellow",,,,yellow,,,white,,,,,,,,,black,,,,,,,mask,,,,,,,,,,,,,,,,,white,,,,,,,,,
Snow Bunting,Oslo,17-06-2023 09:40,A small bird with white plumage and a black back and wings,Unknown,White and Black,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,,,,,,small,,,,,,,,,,
Puffin,Edinburgh,30-06-2023 15:10,"A medium-sized seabird with a colorful bill, a black back, and a white underbody",Unknown,Black and White,,black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,,,white,,,,,
Barn Swallow,Rome,23-06-2023 10:25,A medium-sized bird with a deeply forked tail and a blue-black back and wings,Unknown,Blue-black,,black|blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium,,,forked,,,,,,,
Painted Bunting,Cairo,04-07-2023 16:40,"A small bird with vibrant plumage, including bright blue, green, red, and yellow",Male,Various colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blue|green|red|yellow,,,,,,small,,,,,,,,,,
Crested Serpent Eagle,Kuala Lumpur,21-06-2023 13:25,"A medium-sized bird of prey with a crest, brown plumage, and barred wings",Unknown,Brown,,,,,,,,,,,,,,,,,,,,,,,,crest,,,,,,,,,brown,,barred,,,,medium,,,,,,,,,,
Crowned Hornbill,Nairobi,05-07-2023 11:15,A large bird with a distinctive black-and-white crown and a curved bill,Unknown,Black and White,,,,,,curved,,,,,,,,,black|white,,,,,,,,,,,,,,,,,,,,,,,,large,,,,,,,,,,
White-browed Wagtail,Bangkok,26-06-2023 10:45,A small bird with a black-and-white face pattern and a long tail,Unknown,Black and White,,,,,,,,,,,,,,,,,black|white,,,,,,,,,,,,,,,,,,,,,,small,,long,,,,,,,,
Western Tanager,Seattle,19-06-2023 16:50,"A medium-sized bird with a bright yellow body, black wings, and a red head",Male,"Yellow, Black, and Red",,,,,,,yellow,,,,,,,,,,,,,,,red,,,,,,,,,,,,,,,,,medium,,,,,,,,,black,
Purple Heron,Paris,24-06-2023 08:20,A large wading bird with a purplish-gray body and long legs,Unknown,Purplish-gray,,,,,,,gray|purple,,,,,,,,,,,,,,,,,,,,,long,wading,,,,,,,,,,large,,,,,,,,,,
