species,location,time,description of bird,sex,feather color,,,,,,
Gray Catbird,Rome,27-06-2023 16:55,A medium-sized bird with a gray body and a distinctive mewing call,Unknown,Gray,,,,,,
Lilac-breasted Roller,Cairo,04-07-2023 12:15,A colorful bird with lilac plumage and a long tail,Male,Lilac and Blue,,,,,,
Black Skimmer,Sydney,20-06-2023 14:40,A bird with a black upper body, white underparts, and a large bill with a red base,Unknown,Black and White,,,,
Pied Kingfisher,Tokyo,29-06-2023 16:10,A small bird with black and white plumage and a shaggy crest,Unknown,Black and White,,,,,,
European Bee-eater,Athens,05-07-2023 08:25,A colorful bird with a slender body, a long curved bill, and a greenish-blue crown,Male,Various colors,,,,
Himalayan Monal,Delhi,22-06-2023 10:30,A large, brilliantly colored bird with a metallic green head and a vibrant array of plumage,Male,Various colors,,,,,
Greater Flamingo,Mumbai,30-06-2023 16:50,A tall wading bird with pink feathers, a long neck, and a downward-curving bill,Unknown,Pink,,,,
Harlequin Duck,Reykjavik,03-07-2023 13:45,A small duck with a colorful plumage featuring bold patches of blue, white, and chestnut,Male,Various colors,,,,
Swainson's Hawk,Buenos Aires,26-06-2023 11:20,A large bird of prey with a brown body, a white throat," and a distinctive ""V"" shape underwing pattern,Unknown,Brown and White",Unknown,Brown and White,,,,
Rufous Hummingbird,Vancouver,18-06-2023 09:15,A small hummingbird with a reddish-brown body and a bright orange throat,Male,Reddish-brown and Orange,,,,,,
Hoopoe,London,25-06-2023 14:50,A medium-sized bird with a distinctive crest, black and white wings, and a pinkish-brown body,Unknown,Pinkish-brown and Black,,,,
Snowy Plover,San Francisco,01-07-2023 17:30,A small shorebird with a white body, gray-brown upperparts, and a black bill and legs,Unknown,White and Gray-brown,,,,
Greater Roadrunner,Los Angeles,21-06-2023 09:40,A fast-running bird with a long tail, mottled brown plumage, and a distinctive crest,Unknown,Brown,,,,
Saddle-billed Stork,Nairobi,28-06-2023 15:20,A large wading bird with a black-and-white body, a yellow saddle-shaped bill, and a red facial patch,Unknown,Black, White, Yellow, and Red,
Golden-crowned Kinglet,Seattle,15-06-2023 08:20,A small songbird with olive-green upperparts, yellow underparts, and a golden crown on its head,Unknown,Green and Yellow,,,,
Southern Cassowary,Sydney,02-07-2023 13:15,A large flightless bird with a casque on its head and dark brown plumage,Unknown,Brown,,,,,,
Keel-billed Toucan,Belize City,29-06-2023 11:40,A colorful bird with a large bill featuring hues of green, blue, yellow, and orange,Unknown,Various colors,,,
Long-tailed Tit,Edinburgh,24-06-2023 10:50,A small songbird with a long tail, a black-and-white head, and pinkish underparts,Unknown,Black, White, and Pink,,
Toco Toucan,Rio de Janeiro,05-07-2023 14:25,A large bird with a massive colorful bill and black plumage with white underparts,Unknown,Black and White,,,,,,
Red-crested Cardinal,Buenos Aires,20-06-2023 16:30,A medium-sized bird with a red crest, a black face, and a gray body,Unknown,Red, Black, and Gray,,
Red-billed Leiothrix,Tokyo,26-06-2023 12:40,A small bird with bright red bill, red plumage on the head and wings, and a yellow body,Unknown,Red and Yellow,,,,
Yellow-crowned Night-Heron,New Orleans,03-07-2023 18:15,A medium-sized heron with a black-and-white head, a gray body, and a distinctive yellow crown,Unknown,Black, White, and Gray,,
Orange-breasted Sunbird,Cape Town,21-06-2023 09:55,A small bird with a bright orange breast and a metallic green head and back,Male,Orange and Green,,,,,,
Crested Tit,Oslo,27-06-2023 11:20,A small bird with a black-and-white head, a crested crown, and grayish-brown upperparts,Unknown,Black, White, and Gray,,
Crowned Crane,Nairobi,04-07-2023 16:40,A tall bird with a golden crown of stiff feathers, gray body plumage, and a red throat pouch,Unknown,Golden, Gray, and Red,,
Scarlet Tanager,Washington, D.C.,22-06-2023 08:30,A medium-sized bird with black wings, a black tail, and bright scarlet plumage,Male,Scarlet and Black,,,
Black-throated Blue Warbler,Toronto,29-06-2023 10:10,A small warbler with a black throat and upperparts, and a blue-gray belly and sides,Male,Black and Blue-gray,,,,,
Rhinoceros Hornbill,Kuala Lumpur,06-07-2023 12:45,A large bird with a casque resembling a rhinoceros horn and black-and-white plumage,Unknown,Black and White,,,,,,
Golden Eagle,Zurich,23-06-2023 14:20,A majestic bird of prey with dark brown plumage and a golden-brown nape,Unknown,Brown and Golden-brown,,,,,,
Palm Cockatoo,Sydney,30-06-2023 16:30,A large black parrot with a distinctive large crest and a red patch on its face,Unknown,Black and Red,,,,,,
Yellow-billed Cuckoo,Houston,07-07-2023 10:40,A medium-sized bird with a yellow bill, a long tail, and a brownish-gray plumage,Unknown,Brown and Yellow,,,,
Black Woodpecker,Paris,25-06-2023 12:10,A large woodpecker with black plumage, a yellow eye, and a red crown,Unknown,Black, Yellow, and Red,,
Greater Sage-Grouse,Denver,02-07-2023 07:15,A large grouse with mottled gray-brown plumage and a distinctive display courtship dance,Unknown,Gray-brown,,,,,,
Reddish Egret,New Orleans,29-06-2023 15:40,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior,Unknown,Reddish-brown",Unknown,Reddish-brown,,,,,,
Cerulean Warbler,Lexington,06-07-2023 09:50,A small warbler with a cerulean-blue upper body and a white underbody,Male,Blue and White,,,,,,
Black-crowned Night-Heron,New York City,24-06-2023 18:20,A medium-sized heron with a black crown, gray body, and red eyes,Unknown,Black and Gray,,,,
Crimson Rosella,Melbourne,30-06-2023 14:35,A medium-sized parrot with crimson red plumage, blue cheeks, and a blue tail,Unknown,Crimson and Blue,,,,
Greater Yellowlegs,Seattle,19-06-2023 11:55,A tall wading bird with long yellow legs and mottled brownish-gray plumage,Unknown,Yellow and Gray-brown,,,,,,
Cape Gannet,Cape Town,26-06-2023 15:20,A large seabird with a white body, black wingtips, and a yellow head,Unknown,White, Black, and Yellow,,
White-faced Whistling-Duck,Nairobi,03-07-2023 17:30,A medium-sized duck with a white face, a chestnut body, and a pink bill,Unknown,White, Chestnut, and Pink,,
Eurasian Wryneck,Oslo,20-06-2023 09:40,A small bird with mottled brown plumage, a cryptic pattern," and a distinctive ""snake-like"" head movement,Unknown,Brown",Unknown,Brown,,,,
Black-crowned Sparrow-Lark,Perth,27-06-2023 12:15,A small bird with a black crown, grayish-brown upperparts, and a white belly,Unknown,Black, Grayish-brown, and White,,
African Grey Hornbill,Johannesburg,04-07-2023 14:55,A medium-sized bird with a gray body, a black-and-white face, and a large yellow bill,Unknown,Gray, Black, White, and Yellow,
Green-winged Teal,Toronto,18-06-2023 08:30,A small dabbling duck with a mottled brown body and a distinctive green wing patch,Unknown,Brown and Green,,,,,,
Northern Flicker,Vancouver,01-07-2023 10:20,A medium-sized woodpecker with a brown body, black bars on its back, and a red patch on the nape,Male,Brown and Red,,,,
Gray-headed Swamphen,Sydney,24-06-2023 14:45,A large waterbird with a blue-black body, gray head, and long legs,Unknown,Blue-black and Gray,,,,
Great Crested Grebe,London,05-07-2023 16:30,A medium-sized waterbird with a distinctive head crest, a white neck, and a reddish-brown body,Unknown,White and Reddish-brown,,,,
American White Pelican,Chicago,20-06-2023 12:50,A large white waterbird with a massive bill and a pouch,Male,White,,,,,,
Red-breasted Merganser,Miami,29-06-2023 10:15,A medium-sized diving duck with a reddish-brown head and a gray body,Female,Reddish-brown and Gray,,,,,,
White-tailed Tropicbird,Mexico City,02-07-2023 14:20,A seabird with long white tail feathers and a white body, a black eye mask, and a yellow bill,Unknown,White, Black, and Yellow,,
Snow Bunting,Oslo,17-06-2023 09:40,A small bird with white plumage and a black back and wings,Unknown,White and Black,,,,,,
Puffin,Edinburgh,30-06-2023 15:10,A medium-sized seabird with a colorful bill, a black back, and a white underbody,Unknown,Black and White,,,,
Barn Swallow,Rome,23-06-2023 10:25,A medium-sized bird with a deeply forked tail and a blue-black back and wings,Unknown,Blue-black,,,,,,
Painted Bunting,Cairo,04-07-2023 16:40,A small bird with vibrant plumage, including bright blue, green, red, and yellow,Male,Various colors,,
Crested Serpent Eagle,Kuala Lumpur,21-06-2023 13:25,A medium-sized bird of prey with a crest, brown plumage, and barred wings,Unknown,Brown,,,,
Crowned Hornbill,Nairobi,05-07-2023 11:15,A large bird with a distinctive black-and-white crown and a curved bill,Unknown,Black and White,,,,,,
White-browed Wagtail,Bangkok,26-06-2023 10:45,A small bird with a black-and-white face pattern and a long tail,Unknown,Black and White,,,,,,
Western Tanager,Seattle,19-06-2023 16:50,A medium-sized bird with a bright yellow body, black wings, and a red head,Male,Yellow, Black, and Red,,
Purple Heron,Paris,24-06-2023 08:20,A large wading bird with a purplish-gray body and long legs,Unknown,Purplish-gray,,,,,,
Orange-winged Amazon,Tokyo,02-07-2023 09:30,A medium-sized parrot with green plumage, a yellow head, and orange wing feathers,Unknown,Green, Yellow, and Orange,,
American Avocet,San Francisco,27-06-2023 14:30,A tall wading bird with a slender upturned bill, white body, and black-and-white wings,Unknown,White, Black, and White,,
Ruff,Amsterdam,03-07-2023 15:40,A medium-sized wading bird with a mottled brown plumage, a long neck," and distinctive ""ruff"" feathers,Unknown,Brown",Unknown,Brown,,,,
Cape Weaver,Johannesburg,22-06-2023 12:10,A small bird with yellow plumage and a black face mask,Unknown,Yellow and Black,,,,,,
Eurasian Treecreeper,Oslo,07-07-2023 11:55,A small bird with mottled brown plumage and a long, curved bill,Unknown,Brown,,,,,
Pileated Woodpecker,New York City,25-06-2023 09:20,A large woodpecker with a red crest, black body, and white stripes on its face,Male,Red, Black, and White,,
Scarlet Ibis,Rio de Janeiro,17-06-2023 16:15,A medium-sized wading bird with bright scarlet plumage and a long, curved bill,Unknown,Scarlet,,,,,
Greater Sand Plover,Sydney,01-07-2023 13:40,A small shorebird with a mottled brown plumage, a white underbody, and a distinctive black-and-white face pattern,Unknown,Brown, White, Black, and White,
Chestnut-collared Longspur,Denver,28-06-2023 10:30,A medium-sized bird with a chestnut-colored collar and a streaked back,Unknown,Chestnut and Brown,,,,,,
White-rumped Shama,Delhi,05-07-2023 16:55,A medium-sized bird with a black head, a white rump, and a melodious song,Unknown,Black and White,,,,
Reddish Egret,Miami,20-06-2023 14:20,"A medium-sized heron with a shaggy reddish-brown plumage and a distinctive ""shuffling"" feeding behavior,Unknown,Reddish-brown",Unknown,Reddish-brown,,,,,,
Alder Flycatcher,Chicago,04-07-2023 11:40,A small songbird with olive-green upperparts and a whitish underbody,Unknown,Olive-green and White,,,,,,
Northern Harrier,Seattle,21-06-2023 08:55,A medium-sized bird of prey with a distinctive white rump patch and a low, gliding flight,Unknown,Brown and White,,,,,
Reddish Hermit,Port-au-Prince,24-06-2023 15:25,A small hummingbird with a reddish-brown body and a long, curved bill,Male,Reddish-brown,,,,,
Baltimore Oriole,Washington, D.C.,29-06-2023 12:10,A medium-sized bird with bright orange plumage and black wings,Male,Orange and Black,,,,,
Laughing Kookaburra,Sydney,02-07-2023 10:30,A large bird with brown plumage, a white chest," and a distinctive ""laughing"" call,Unknown,Brown and White",Unknown,Brown and White,,,,
Ruby-crowned Kinglet,Seattle,25-06-2023 09:45,A small songbird with olive-green upperparts and a ruby-red crown,Male,Olive-green and Red,,,,,,
Siberian Rubythroat,St. Petersburg,01-07-2023 11:50,A small songbird with a brownish-gray body, a white throat, and a bright red patch on its throat,Male,Brownish-gray, White, and Red,,
Common Tern,New York City,19-06-2023 15:15,A medium-sized bird with a white body, gray wings, and a black cap on its head,Unknown,White, Gray, and Black,,
Gray-crowned Rosy-Finch,Boulder,26-06-2023 12:40,A medium-sized finch with gray plumage and a rosy-pink wash on its face and underparts,Unknown,Gray and Pink,,,,,,
Black-winged Stilt,Amsterdam,03-07-2023 09:55,A tall wading bird with black-and-white plumage, long pink legs, and a long, thin bill,Unknown,Black, White, and Pink,
Yellow-billed Hornbill,Cape Town,22-06-2023 14:10,A medium-sized bird with a black-and-white face and a distinctive yellow bill,Unknown,Black, White, and Yellow,,,,
Sandwich Tern,Edinburgh,29-06-2023 15:40,A medium-sized seabird with a white body, black cap, and a yellow-tipped black bill,Unknown,White, Black, and Yellow,,
Eastern Meadowlark,Denver,04-07-2023 10:20,A medium-sized bird with a yellow breast," a black ""V"" on its chest, and a melodic song,Unknown,Yellow and Black", and a melodic song,Unknown,Yellow and Black,,,,
Leach's Storm-Petrel,Reykjavik,21-06-2023 11:30,A small seabird with a dark plumage, a white rump, and a forked tail,Unknown,Dark and White,,,,
Lazuli Bunting,San Francisco,27-06-2023 13:25,A small bird with bright blue plumage and a brownish back,Male,Blue and Brown,,,,,,
Swamp Sparrow,New York City,20-06-2023 09:50,A small sparrow with a streaked brown back and a grayish-brown breast,Unknown,Brown and Grayish-brown,,,,,,
Chestnut-headed Bee-eater,Bangkok,05-07-2023 15:10,A medium-sized bird with a chestnut-colored head, green body, and long, curved bill,Unknown,Chestnut and Green,,,
Yellow-billed Magpie,Sacramento,24-06-2023 10:25,A medium-sized bird with a black-and-white plumage and a yellow bill,Unknown,Black, White, and Yellow,,,,
Spotted Flycatcher,Paris,01-07-2023 12:40,A small songbird with a brownish-gray plumage and distinctive spotted wings,Unknown,Brownish-gray,,,,,,
Black-throated Sparrow,Los Angeles,18-06-2023 11:55,A small sparrow with a black throat, a gray crown, and a white underbody,Unknown,Black, Gray, and White,,
Ring-necked Duck,Toronto,25-06-2023 08:20,A medium-sized diving duck with a black head, a gray body, and a white ring around its bill,Male,Black, Gray, and White,,
Black-headed Gull,London,02-07-2023 16:30,A small gull with a black head, a white body, and gray wings,Unknown,Black, White, and Gray,,
Long-eared Owl,Chicago,19-06-2023 14:45,A medium-sized owl with prominent ear tufts and a streaked brown plumage,Unknown,Brown,,,,,,
Vermilion Flycatcher,Rio de Janeiro,26-06-2023 12:10,A small songbird with a bright red head, a brownish body, and a distinctive crest,Male,Red and Brownish,,,,
Snowy-crowned Tern,Perth,03-07-2023 11:30,A medium-sized seabird with a white body, a black cap, and a long, forked tail,Unknown,White and Black,,,
Indigo Bunting,Melbourne,22-06-2023 13:55,A small bird with bright blue plumage,Male,Blue,,,,,,
Cape White-eye,Cape Town,29-06-2023 15:20,A small bird with greenish-yellow plumage, a white eye ring, and a melodious song,Unknown,Greenish-yellow,,,,
Ashy Drongo,Delhi,06-07-2023 10:40,A medium-sized bird with a black plumage, a gray head, and distinctive red eyes,Unknown,Black and Gray,,,,
American Coot,San Francisco,17-06-2023 13:30,A medium-sized waterbird with a dark body, a white bill, and distinctive lobed toes,Unknown,Black and White,,,,
Horned Lark,Denver,26-06-2023 11:45,"A small bird with a black ""horned"" tuft on its head and a streaked brown plumage,Unknown,Brown and Black",Unknown,Brown and Black,,,,,,
Belted Kingfisher,Seattle,02-07-2023 08:20,A medium-sized bird with a shaggy crest, a blue-gray back, and a white underbody,Unknown,Blue-gray and White,,,,
Red-winged Blackbird,New York City,19-06-2023 15:40,A medium-sized blackbird with a red shoulder patch and a black body,Male,Black and Red,,,,,,
Common Redpoll,Toronto,01-07-2023 10:25,A small finch with a brownish-gray plumage, streaks of red on its chest, and a small red cap,Unknown,Brownish-gray and Red,,,,
Eastern Screech Owl,Chicago,24-06-2023 09:50,A small owl with gray or reddish-brown plumage and prominent ear tufts,Unknown,Gray or Reddish-brown,,,,,,
Little Egret,Paris,05-07-2023 12:40,A small white heron with a black bill and black legs,Unknown,White and Black,,,,,,
Golden-crowned Sparrow,Vancouver,18-06-2023 08:55,A medium-sized sparrow with a gray body, a black crown, and a bright yellow patch on its head,Unknown,Gray, Black, and Yellow,,
Cerulean Warbler,Rio de Janeiro,27-06-2023 14:20,A small songbird with bright blue upperparts and a white underbody,Male,Blue and White,,,,,,
Gila Woodpecker,Phoenix,03-07-2023 11:40,A medium-sized woodpecker with a black-and-white striped back and a pale yellow belly,Unknown,Black, White, and Yellow,,,,
Common Merganser,London,20-06-2023 16:15,A large diving duck with a white body, a black back, and a slender red bill,Female,White, Black, and Red,,
Eurasian Bullfinch,Moscow,29-06-2023 13:25,A small finch with a grayish-blue back, a reddish breast, and a black cap,Male,Grayish-blue, Red, and Black,,
Sora,Miami,22-06-2023 10:30,A small rail bird with a brown body, a black face, and a distinctive descending whinny call,Unknown,Brown and Black,,,,
Budgerigar,Sydney,30-06-2023 09:45,A small parrot with bright green plumage, a yellow head, and a blue rump,Unknown,Green, Yellow, and Blue,,
Mourning Warbler,Ottawa,07-07-2023 16:10,A small songbird with a grayish-brown back, a yellow underbody, and a black facial mask,Unknown,Grayish-brown, Yellow, and Black,,
Violet-green Swallow,Seattle,17-06-2023 15:30,A medium-sized bird with glossy green upperparts, a white underbody, and violet-purple rump feathers,Unknown,Green, White, and Violet-purple,,
Eurasian Spoonbill,Amsterdam,24-06-2023 12:20,A large wading bird with white plumage, a spoon-shaped bill, and a yellow face patch,Unknown,White and Yellow,,,,
Himalayan Monal,Kathmandu,01-07-2023 11:55,A large and colorful bird with a metallic green head, a golden crest, and an array of plumage colors,Male,Various colors,,,,
Black-capped Vireo,Austin,19-06-2023 09:20,A small songbird with a gray head, a black cap, and a white underbody,Unknown,Gray, Black, and White,,
Greater Yellowlegs,Mexico City,26-06-2023 10:45,A tall wading bird with long yellow legs, a mottled brown plumage, and a long, slender bill,Unknown,Yellow and Brown,,,
Hoopoe,London,03-07-2023 13:30,A medium-sized bird with a distinctive crest, a black-and-white plumage, and a pinkish-brown body,Unknown,Pinkish-brown, Black, and White,,
Blue Grosbeak,Los Angeles,20-06-2023 11:40,A medium-sized finch with a vibrant blue plumage,Male,Blue,,,,,,
Indian Peafowl,Delhi,27-06-2023 14:25,A large bird with colorful plumage, including iridescent blue, green, and bronze,Male,Various colors,,,
Long-tailed Tit,London,04-07-2023 10:30,A small songbird with a long tail, a black-and-white head, and pinkish underparts,Unknown,Black, White, and Pink,,
Red Knot,New York City,21-06-2023 15:45,A medium-sized shorebird with a mottled gray-brown plumage and a reddish breast,Unknown,Gray-brown and Red,,,,,,
Cinnamon Hummingbird,San Francisco,28-06-2023 13:10,A small hummingbird with cinnamon-brown plumage, a shimmering throat patch, and a long bill,Male,Cinnamon-brown,,,,
Black Guillemot,Reykjavik,05-07-2023 09:40,A medium-sized seabird with black plumage, a white patch on its wings, and red feet,Unknown,Black, White, and Red,,
Pied Flycatcher,Oslo,22-06-2023 16:25,A small songbird with a black-and-white plumage, a white belly," and a distinctive ""pied"" appearance,Unknown,Black and White",Unknown,Black and White,,,,
Yellow-crowned Night-Heron,Miami,29-06-2023 15:55,A medium-sized heron with a black-and-white head, a gray body, and a yellow crown,Unknown,Black, White, and Gray,,
Gray Catbird,Chicago,19-06-2023 08:20,A medium-sized bird with gray plumage and a black cap,Unknown,Gray and Black,,,,,,
Eurasian Golden Oriole,Berlin,26-06-2023 11:30,A medium-sized bird with bright yellow plumage, a black face mask, and a melodious song,Male,Yellow and Black,,,,
Common Nighthawk,Toronto,02-07-2023 16:40,A medium-sized bird with mottled brown plumage, pointed wings," and a distinctive ""booming"" call,Unknown,Brown",Unknown,Brown,,,,
White-winged Crossbill,Edmonton,20-06-2023 09:55,A small finch with a crossed bill and a reddish plumage,Unknown,Red,,,,,,
Sooty Tern,Sydney,27-06-2023 14:20,A medium-sized seabird with a black body, a white underbody, and a deeply forked tail,Unknown,Black and White,,,,
Yellow-billed Cuckoo,Washington, D.C.,04-07-2023 11:40,A medium-sized bird with a yellow bill, a long tail, and a brownish-gray plumage,Unknown,Brownish-gray and Yellow,,,
Crested Tit,Edinburgh,21-06-2023 09:50,A small bird with a black-and-white head, a crested crown, and grayish-brown upperparts,Unknown,Black, White, and Gray,,
Crimson Rosella,Melbourne,28-06-2023 12:10,A medium-sized parrot with bright crimson plumage, blue cheeks, and a blue tail,Unknown,Crimson and Blue,,,,
Red-eyed Vireo,Montreal,05-07-2023 15:30,A small songbird with a grayish-olive back, a white underbody, and a distinctive red eye,Unknown,Grayish-olive, White, and Red,,
Black Skimmer,Los Angeles,22-06-2023 11:45,A medium-sized seabird with a black upper body, white underparts, and a distinctive long, red bill,Unknown,Black, White, and Red,
Boreal Owl,Edmonton,29-06-2023 10:30,A medium-sized owl with a mottled brown plumage and piercing yellow eyes,Unknown,Brown and Yellow,,,,,,
Olive-sided Flycatcher,Vancouver,06-07-2023 13:45,A medium-sized songbird with an olive-brown plumage, a distinctive white patch on its sides, and a loud, clear song,Unknown,Olive-brown and White,,,
Red-footed Booby,Gal?pagos Islands,23-06-2023 15:20,A large seabird with a white body, a brown back, and bright red feet,Unknown,White, Brown, and Red,,
Ruby-throated Hummingbird,New York City,30-06-2023 10:45,A small hummingbird with a bright green plumage and a ruby-red throat patch,Male,Green and Ruby-red,,,,,,
Ocellated Turkey,Cancun,07-07-2023 12:10,A large turkey with colorful plumage, including iridescent green, blue, and bronze,Male,Various colors,,,
African Pygmy Kingfisher,Nairobi,24-06-2023 16:30,A small kingfisher with a turquoise-blue back, a rufous underbody, and a white throat,Unknown,Blue, Rufous, and White,,
Wilson's Warbler,Seattle,19-06-2023 08:55,A small songbird with a bright yellow body and a distinctive black cap,Male,Yellow and Black,,,,,,
Snowy Owl,Anchorage,26-06-2023 11:20,A large owl with white plumage and piercing yellow eyes,Unknown,White,,,,,,
